"EstablishmentID","InspectionID","Ins_TypeDesc","EstablishmentName","PlaceName","Address","Address2","City","State","Zip","TypeDescription","InspectionDate","score","Grade","NameSearch","Intersection"
"72438","1579836","REGULAR","GORDON FOOD SERVICE STORE","","641 S HURSTBOURNE PKWY","","LOUISVILLE","KY","40222","RETAIL-FOOD  10,001 SQ FT OR OVER","2021-01-25 00:00:00","100","A","GORDON FOOD SERVICE STORE",""
"72438","1579837","REGULAR","GORDON FOOD SERVICE STORE","","641 S HURSTBOURNE PKWY","","LOUISVILLE","KY","40222","RETAIL-FOOD  10,001 SQ FT OR OVER","2021-01-25 00:00:00","100","","GORDON FOOD SERVICE STORE",""
"34272","1579862","REGULAR","WHITE CASTLE #17","","3705 BARDSTOWN RD","","LOUISVILLE","KY","40218","FOOD SERVICE","2021-01-25 00:00:00","98","A","WHITE CASTLE #17",""
"92244","1579944","REGULAR","8 TASTE OF CHINA","","1167 S 4TH ST","","LOUISVILLE","KY","40203","FOOD SERVICE","2021-01-25 00:00:00","93","A","8 TASTE OF CHINA",""
"108032","1579945","REGULAR","SOUL FOOD EXPRESS","","418 W OAK ST","","LOUISVILLE","KY","40203","FOOD SERVICE","2021-01-25 00:00:00","95","A","SOUL FOOD EXPRESS",""
"98867","1579983","REGULAR","SIGNATURE HEALTHCARE AT SUMMERFIELD","","1877 FARNSLEY RD","","LOUISVILLE","KY","40216","FOOD SERVICE (HOSPITAL / NURSING HOME","2021-01-26 00:00:00","97","A","SIGNATURE HEALTHCARE AT SUMMERFIELD",""
"104824","1579985","REGULAR","TACO BELL #34682","","1801 S BROOK ST","","LOUISVILLE","KY","40208","FOOD SERVICE","2021-01-26 00:00:00","97","A","TACO BELL #34682",""
"84569","1579986","REGULAR","WALGREENS #12321","","700 ALGONQUIN PKWY","","LOUISVILLE","KY","40208","PRE-PACKAGED RETAIL","2021-01-26 00:00:00","97","","WALGREENS #12321",""
"90118","1579987","REGULAR","QDOBA #2713","","1832 S 3RD ST","","LOUISVILLE","KY","40208","FOOD SERVICE","2021-01-26 00:00:00","95","A","QDOBA #2713",""
"104667","1580019","REGULAR","TACO BELL #34668","","6800 BARDSTOWN RD","","LOUISVILLE","KY","40291","FOOD SERVICE","2021-01-26 00:00:00","100","A","TACO BELL #34668",""
"55682","1580022","REGULAR","HONEY BAKED HAM","","6423 BARDSTOWN RD","","LOUISVILLE","KY","40291","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-01-26 00:00:00","100","","HONEY BAKED HAM",""
"88273","1580036","REGULAR","DAIRY QUEEN","","400 FAIRDALE RD","","FAIRDALE","KY","40118","FOOD SERVICE","2021-01-26 00:00:00","94","A","DAIRY QUEEN",""
"103887","1579872","REGULAR","DUNKIN DONUTS","","2815 FERN VALLEY RD","","LOUISVILLE","KY","40213","FOOD SERVICE","2021-01-25 00:00:00","96","A","DUNKIN DONUTS",""
"88826","1579947","REGULAR","THOROBRED LOUNGE","","3634 S 7TH ST","","LOUISVILLE","KY","40216","FOOD SERVICE","2021-01-25 00:00:00","98","A","THOROBRED LOUNGE",""
"103378","1580180","REGULAR","MARKETPLACE (SAC)","","2100 S FLOYD ST","","LOUISVILLE","KY","40208","FOOD SERVICE","2021-01-27 00:00:00","99","A","MARKETPLACE (SAC)",""
"100732","1580181","REGULAR","CHICK-FIL-A (SAC)","","2100 S FLOYD ST","","LOUISVILLE","KY","40208","FOOD SERVICE","2021-01-27 00:00:00","100","A","CHICK-FIL-A (SAC)",""
"106000","1579838","REGULAR","ALDI USA","","845 S HURSTBOURNE PKWY","","LOUISVILLE","KY","40222","PRE-PACKAGED RETAIL","2021-01-25 00:00:00","100","","ALDI USA",""
"109609","1580226","REGULAR","WAFFLE HOUSE #1444","","7715 BARDSTOWN RD","","LOUISVILLE","KY","40291","FOOD SERVICE","2021-01-27 00:00:00","96","A","WAFFLE HOUSE #1444",""
"105111","1580228","REGULAR","POPEYE'S","","7723 BARDSTOWN RD","","LOUISVILLE","KY","40291","FOOD SERVICE","2021-01-27 00:00:00","96","A","POPEYE'S",""
"107187","1580235","REGULAR","THORNTONS #155","","8405 NATIONAL TURNPIKE","","LOUISVILLE","KY","40214","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-01-27 00:00:00","99","A","THORNTONS #155",""
"107187","1580236","REGULAR","THORNTONS #155","","8405 NATIONAL TURNPIKE","","LOUISVILLE","KY","40214","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-01-27 00:00:00","99","","THORNTONS #155",""
"98333","1580237","REGULAR","FAIRDALE PIZZA","","10619 W MANSLICK RD","","FAIRDALE","KY","40118","FOOD SERVICE","2021-01-27 00:00:00","99","A","FAIRDALE PIZZA",""
"94265","1580286","REGULAR","IGA CROSSROADS MARKET 782","","14010 SHELBYVILLE RD","","LOUISVILLE","KY","40245","RETAIL-FOOD  10,001 SQ FT OR OVER","2021-01-27 00:00:00","97","","IGA CROSSROADS MARKET 782",""
"98321","1580346","REGULAR","JENNY CRAIG WEIGHT LOSS CENTER","","3600 SPRINGHURST BLVD","","LOUISVILLE","KY","40241","PRE-PACKAGED RETAIL","2021-01-28 00:00:00","100","","JENNY CRAIG WEIGHT LOSS CENTER",""
"101544","1580347","REGULAR","CHEDDAR'S SCRATCH KITCHEN","","10403 WESTPORT RD","","LOUISVILLE","KY","40241","FOOD SERVICE","2021-01-28 00:00:00","96","A","CHEDDAR'S SCRATCH KITCHEN",""
"80688","1580352","FOLLOWUP","BEARNO'S","","4105 DIXIE HWY","","LOUISVILLE","KY","40216","FOOD SERVICE","2021-01-28 00:00:00","100","A","BEARNO'S",""
"97682","1580371","REGULAR","CHICK-FIL-A","","4925 OUTER LOOP","","LOUISVILLE","KY","40219","FOOD SERVICE","2021-01-28 00:00:00","100","A","CHICK-FIL-A",""
"91679","1580377","REGULAR","SUPER USA #5","","5901 NEW CUT RD","","LOUISVILLE","KY","40214","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-01-28 00:00:00","97","A","SUPER USA #5",""
"91679","1580378","REGULAR","SUPER USA #5","","5901 NEW CUT RD","","LOUISVILLE","KY","40214","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-01-28 00:00:00","95","","SUPER USA #5",""
"31299","1580379","REGULAR","SOUTHSIDE CHRISTIAN #3","","7419 ST. ANDREWS CHURCH RD","","LOUISVILLE","KY","40214","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","2021-01-28 00:00:00","100","A","SOUTHSIDE CHRISTIAN #3",""
"92913","1580381","REGULAR","B QUICK FOODMART","","2119 UPPER HUNTERS TRACE","","LOUISVILLE","KY","40216","PRE-PACKAGED RETAIL","2021-01-28 00:00:00","95","","B QUICK FOODMART",""
"109171","1580383","REGULAR","MG'S PRIMETIME CAFE","","7017 GLOBAL DR","","LOUISVILLE","KY","40258","FOOD SERVICE","2021-01-28 00:00:00","98","A","MG'S PRIMETIME CAFE",""
"87479","1580384","REGULAR","SUNSHINE GROCERY","","125 E OAK ST","","LOUISVILLE","KY","40203","PRE-PACKAGED RETAIL","2021-01-28 00:00:00","98","","SUNSHINE GROCERY",""
"85857","1580385","REGULAR","DOLLAR GENERAL #12215","","2701 S 4TH ST","","LOUISVILLE","KY","40208","PRE-PACKAGED RETAIL","2021-01-28 00:00:00","100","","DOLLAR GENERAL #12215",""
"44019","1580386","REGULAR","FAMILY DOLLAR #20928","","3277 TAYLOR BLVD","","LOUISVILLE","KY","40215","PRE-PACKAGED RETAIL","2021-01-28 00:00:00","97","","FAMILY DOLLAR #20928",""
"104339","1580387","REGULAR","SOUTHSIDE QUICK STOP","","3449 TAYLOR BLVD","","LOUISVILLE","KY","40215","PRE-PACKAGED RETAIL","2021-01-28 00:00:00","98","","SOUTHSIDE QUICK STOP",""
"68713","1580020","REGULAR","PENN STATION","","6525 BARDSTOWN RD","","LOUISVILLE","KY","40291","FOOD SERVICE","2021-01-26 00:00:00","99","A","PENN STATION",""
"91805","1580037","REGULAR","DOLLAR GENERAL #59","","8701 NATIONAL TURNPIKE","","FAIRDALE","KY","40118","PRE-PACKAGED RETAIL","2021-01-26 00:00:00","94","","DOLLAR GENERAL #59",""
"96120","1580040","REGULAR","HOOTERS","","4948 DIXIE HWY","","LOUISVILLE","KY","40216","FOOD SERVICE","2021-01-26 00:00:00","91","A","HOOTERS",""
"34796","1580048","REGULAR","KROGER L-186","","2219 HOLIDAY MANOR CENTER","","LOUISVILLE","KY","40222","RETAIL-FOOD  10,001 SQ FT OR OVER","2021-01-26 00:00:00","99","A","KROGER L-186",""
"52126","1580201","REGULAR","HYATT PLACE","","701 S HURSTBOURNE LN","","LOUISVILLE","KY","40222","FOOD SERVICE","2021-01-27 00:00:00","100","A","HYATT PLACE",""
"111293","1580203","REGULAR","HYATT HOUSE","","9315 LEESGATE RD","","LOUISVILLE","KY","40222","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-01-27 00:00:00","100","","HYATT HOUSE",""
"66858","1580208","REGULAR","STARBUCKS #2562","","4001 SUMMIT PLAZA DR","","LOUISVILLE","KY","40241","FOOD SERVICE","2021-01-27 00:00:00","100","A","STARBUCKS #2562",""
"89726","1580209","REGULAR","MARTINI ITALIAN BISTRO","","4021 SUMMIT PLAZA DR","","LOUISVILLE","KY","40241","FOOD SERVICE","2021-01-27 00:00:00","98","A","MARTINI ITALIAN BISTRO",""
"90101","1580210","REGULAR","QDOBA #2098","","4059 SUMMIT PLAZA DR","","LOUISVILLE","KY","40241","FOOD SERVICE","2021-01-27 00:00:00","99","A","QDOBA #2098",""
"55682","1580021","REGULAR","HONEY BAKED HAM","","6423 BARDSTOWN RD","","LOUISVILLE","KY","40291","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-01-26 00:00:00","100","A","HONEY BAKED HAM",""
"103377","1580033","REGULAR","ZEN SUSHI (SAC)","","2100 S FLOYD ST","","LOUISVILLE","KY","40208","FOOD SERVICE","2021-01-26 00:00:00","99","A","ZEN SUSHI (SAC)",""
"83137","1580227","REGULAR","CVS #6216","","6109 BARDSTOWN RD","","LOUISVILLE","KY","40291","PRE-PACKAGED RETAIL","2021-01-27 00:00:00","98","","CVS #6216",""
"68331","1580232","REGULAR","SOUTHSIDE CHRISTIAN #13","","5118 EUCLID AVE","","LOUISVILLE","KY","40272","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","2021-01-27 00:00:00","99","A","SOUTHSIDE CHRISTIAN #13",""
"99344","1580233","REGULAR","CHICK-FIL-A","","6630 DIXIE HWY","","LOUISVILLE","KY","40258","FOOD SERVICE","2021-01-27 00:00:00","99","A","CHICK-FIL-A",""
"111728","1580234","REGULAR","DIXIE CHICKEN","","7808 ST ANDREWS CHURCH RD","","LOUISVILLE","KY","40214","FOOD SERVICE","2021-01-27 00:00:00","94","A","DIXIE CHICKEN",""
"94271","1580284","REGULAR","SUBWAY #782","","14010 SHELBYVILLE RD","","LOUISVILLE","KY","40245","FOOD SERVICE","2021-01-27 00:00:00","99","A","SUBWAY #782",""
"94265","1580285","REGULAR","IGA CROSSROADS MARKET 782","","14010 SHELBYVILLE RD","","LOUISVILLE","KY","40245","RETAIL-FOOD  10,001 SQ FT OR OVER","2021-01-27 00:00:00","97","A","IGA CROSSROADS MARKET 782",""
