close,high,low,open,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
142.92,145.09,136.54,143.07,AAPL,157611713,HISTORICAL_PRICES,AAPL,,2021-01-25,1636136374000,0,0,143.07,142.92,145.09,136.54,157611713,142.1934,142.0443,144.201,135.7034,157611713,"Jan 25, 21",0,0
143.16,144.3,141.37,143.6,AAPL,98390555,HISTORICAL_PRICES,AAPL,,2021-01-26,1636136303000,0.0016792611251050175,0.0016792611251050175,143.6,143.16,144.3,141.37,98390555,142.7202,142.2829,143.4159,140.5038,98390555,"Jan 26, 21",0.2400000000000091,0.0017
142.06,144.3,140.41,143.43,AAPL,140843759,HISTORICAL_PRICES,AAPL,,2021-01-27,1636136208000,-0.006017352364959315,-0.006017352364959315,143.43,142.06,144.3,140.41,140843759,142.5512,141.1896,143.4159,139.5497,140843759,"Jan 27, 21",-1.0999999999999943,-0.0077
137.09,141.99,136.7,139.52,AAPL,142621128,HISTORICAL_PRICES,AAPL,,2021-01-28,1636136195000,-0.04079205149734106,-0.04079205149734106,139.52,137.09,141.99,136.7,142621128,138.6652,136.25,141.12,135.8624,142621128,"Jan 28, 21",-4.969999999999999,-0.035
131.96,136.74,130.21,135.83,AAPL,177523812,HISTORICAL_PRICES,AAPL,,2021-01-29,1636136223000,-0.07668625804645943,-0.07668625804645943,135.83,131.96,136.74,130.21,177523812,134.9978,131.1515,135.9022,129.4122,177523812,"Jan 29, 21",-5.1299999999999955,-0.0374
134.14,135.38,130.93,133.75,AAPL,106239823,HISTORICAL_PRICES,AAPL,,2021-02-01,1636136481000,-0.06143296949342291,-0.06143296949342291,133.75,134.14,135.38,130.93,106239823,132.9305,133.3181,134.5505,130.1278,106239823,"Feb 1, 21",2.1799999999999784,0.0165
134.99,136.31,134.61,135.73,AAPL,83305367,HISTORICAL_PRICES,AAPL,,2021-02-02,1636136303000,-0.05548558634200937,-0.05548558634200937,135.73,134.99,136.31,134.61,83305367,134.8984,134.1629,135.4748,133.7852,83305367,"Feb 2, 21",0.8500000000000227,0.0063
133.94,135.77,133.61,135.76,AAPL,89880937,HISTORICAL_PRICES,AAPL,,2021-02-03,1636136471000,-0.06283235376434362,-0.06283235376434362,135.76,133.94,135.77,133.61,89880937,134.9282,133.1193,134.9381,132.7914,89880937,"Feb 3, 21",-1.0500000000000114,-0.0078
137.39,137.4,134.59,136.3,AAPL,84183061,HISTORICAL_PRICES,AAPL,,2021-02-04,1636136473000,-0.03869297509095999,-0.03869297509095999,136.3,137.39,137.4,134.59,84183061,135.4649,136.5482,136.5581,133.7654,84183061,"Feb 4, 21",3.4499999999999886,0.0258
136.76,137.42,135.86,137.35,AAPL,75693830,HISTORICAL_PRICES,AAPL,,2021-02-05,1636136240000,-0.04310103554436046,-0.04310103554436046,137.35,136.76,137.42,135.86,75693830,136.7124,136.1252,136.7821,135.2294,75693830,"Feb 5, 21",-0.6299999999999955,-0.0046
136.91,136.96,134.92,136.03,AAPL,71297214,HISTORICAL_PRICES,AAPL,,2021-02-08,1636136381000,-0.04205149734116983,-0.04205149734116983,136.03,136.91,136.96,134.92,71297214,135.3986,136.2745,136.3243,134.2937,71297214,"Feb 8, 21",0.15000000000000568,0.0011
136.01,137.877,135.85,136.62,AAPL,76774213,HISTORICAL_PRICES,AAPL,,2021-02-09,1636136281000,-0.04834872656031344,-0.04834872656031344,136.62,136.01,137.877,135.85,76774213,135.9858,135.3787,137.237,135.2194,76774213,"Feb 9, 21",-0.9000000000000057,-0.0066
135.39,136.99,134.4,136.48,AAPL,73046563,HISTORICAL_PRICES,AAPL,,2021-02-10,1636136389000,-0.052686817800167936,-0.052686817800167936,136.48,135.39,136.99,134.4,73046563,135.8465,134.7615,136.3541,133.7761,73046563,"Feb 10, 21",-0.6200000000000045,-0.0046
135.13,136.39,133.77,135.9,AAPL,64280029,HISTORICAL_PRICES,AAPL,,2021-02-11,1636136481000,-0.05450601735236491,-0.05450601735236491,135.9,135.13,136.39,133.77,64280029,135.2692,134.5027,135.7569,133.1491,64280029,"Feb 11, 21",-0.2599999999999909,-0.0019
135.37,135.53,133.6921,134.35,AAPL,60145130,HISTORICAL_PRICES,AAPL,,2021-02-12,1636136594000,-0.052826756227259894,-0.052826756227259894,134.35,135.37,135.53,133.6921,60145130,133.7264,134.7416,134.9009,133.0715,60145130,"Feb 12, 21",0.2400000000000091,0.0018
133.19,136.01,132.79,135.49,AAPL,80576316,HISTORICAL_PRICES,AAPL,,2021-02-16,1636136257000,-0.0680800447802966,-0.0680800447802966,135.49,133.19,136.01,132.79,80576316,134.8611,132.5718,135.3787,132.1736,80576316,"Feb 16, 21",-2.180000000000007,-0.0161
130.84,132.22,129.47,131.25,AAPL,98085249,HISTORICAL_PRICES,AAPL,,2021-02-17,1636136355000,-0.0845228099636159,-0.0845228099636159,131.25,130.84,132.22,129.47,98085249,130.6408,130.2327,131.6063,128.869,98085249,"Feb 17, 21",-2.3499999999999943,-0.0176
129.71,129.995,127.41,129.2,AAPL,96856748,HISTORICAL_PRICES,AAPL,,2021-02-18,1636136195000,-0.09242933109431836,-0.09242933109431836,129.2,129.71,129.995,127.41,96856748,128.6003,129.1079,129.3916,126.8186,96856748,"Feb 18, 21",-1.1299999999999955,-0.0086
129.87,130.71,128.8,130.24,AAPL,87668834,HISTORICAL_PRICES,AAPL,,2021-02-19,1636136270000,-0.09130982367758175,-0.09130982367758175,130.24,129.87,130.71,128.8,87668834,129.6354,129.2672,130.1033,128.2021,87668834,"Feb 19, 21",0.1599999999999966,0.0012
126,129.72,125.6,128.01,AAPL,103916419,HISTORICAL_PRICES,AAPL,,2021-02-22,1636136381000,-0.11838790931989916,-0.11838790931989916,128.01,126,129.72,125.6,103916419,127.4158,125.4151,129.1179,125.017,103916419,"Feb 22, 21",-3.8700000000000045,-0.0298
125.86,126.71,118.39,123.76,AAPL,158273022,HISTORICAL_PRICES,AAPL,,2021-02-23,1636136303000,-0.11936747830954372,-0.11936747830954372,123.76,125.86,126.71,118.39,158273022,123.1855,125.2758,126.1218,117.8405,158273022,"Feb 23, 21",-0.14000000000000057,-0.0011
125.35,125.56,122.23,124.94,AAPL,111039904,HISTORICAL_PRICES,AAPL,,2021-02-24,1636136209000,-0.1229359082003918,-0.1229359082003918,124.94,125.35,125.56,122.23,111039904,124.36,124.7681,124.9772,121.6626,111039904,"Feb 24, 21",-0.5100000000000051,-0.0041
120.99,126.4585,120.54,124.68,AAPL,148199540,HISTORICAL_PRICES,AAPL,,2021-02-25,1636136223000,-0.15344248530646512,-0.15344248530646512,124.68,120.99,126.4585,120.54,148199540,124.1013,120.4284,125.8715,119.9805,148199540,"Feb 25, 21",-4.359999999999999,-0.0348
