date,close,high,low,open,volume,symbol
2021-01-25,142.92,145.09,136.54,143.07,157611713,AAPL
2021-01-26,143.16,144.3,141.37,143.6,98390555,AAPL
2021-01-27,142.06,144.3,140.41,143.43,140843759,AAPL
2021-01-28,137.09,141.99,136.7,139.52,142621128,AAPL
2021-01-29,131.96,136.74,130.21,135.83,177523812,AAPL
2021-02-01,134.14,135.38,130.93,133.75,106239823,AAPL
2021-02-02,134.99,136.31,134.61,135.73,83305367,AAPL
2021-02-03,133.94,135.77,133.61,135.76,89880937,AAPL
2021-02-04,137.39,137.4,134.59,136.3,84183061,AAPL
2021-02-05,136.76,137.42,135.86,137.35,75693830,AAPL
2021-02-08,136.91,136.96,134.92,136.03,71297214,AAPL
2021-02-09,136.01,137.877,135.85,136.62,76774213,AAPL
2021-02-10,135.39,136.99,134.4,136.48,73046563,AAPL
2021-02-11,135.13,136.39,133.77,135.9,64280029,AAPL
2021-02-12,135.37,135.53,133.6921,134.35,60145130,AAPL
2021-02-16,133.19,136.01,132.79,135.49,80576316,AAPL
2021-02-17,130.84,132.22,129.47,131.25,98085249,AAPL
2021-02-18,129.71,129.995,127.41,129.2,96856748,AAPL
2021-02-19,129.87,130.71,128.8,130.24,87668834,AAPL
2021-02-22,126,129.72,125.6,128.01,103916419,AAPL
2021-02-23,125.86,126.71,118.39,123.76,158273022,AAPL
2021-02-24,125.35,125.56,122.23,124.94,111039904,AAPL
2021-02-25,120.99,126.4585,120.54,124.68,148199540,AAPL
2021-02-26,121.26,124.85,121.2,122.59,164560394,AAPL
2021-03-01,127.79,127.93,122.79,123.75,116307892,AAPL
2021-03-02,125.12,128.72,125.01,128.41,102260945,AAPL
2021-03-03,122.06,125.71,121.84,124.81,112966340,AAPL
2021-03-04,120.13,123.6,118.62,121.75,178154975,AAPL
2021-03-05,121.42,121.935,117.57,120.98,153766601,AAPL
2021-03-08,116.36,121,116.21,120.93,154376610,AAPL
2021-03-09,121.085,122.06,118.79,119.03,129525780,AAPL
2021-03-10,119.98,122.17,119.45,121.69,111943326,AAPL
2021-03-11,121.96,123.21,121.26,122.54,103026514,AAPL
2021-03-12,121.03,121.17,119.16,120.4,88105050,AAPL
2021-03-15,123.99,124,120.42,121.41,92590555,AAPL
2021-03-16,125.57,127.22,124.715,125.7,115227936,AAPL
2021-03-17,124.76,125.8599,122.336,124.05,111932636,AAPL
2021-03-18,120.53,123.18,120.32,122.88,121469755,AAPL
2021-03-19,119.99,121.43,119.675,119.9,185549522,AAPL
2021-03-22,123.39,123.87,120.26,120.33,111912284,AAPL
2021-03-23,122.54,124.24,122.14,123.33,95467142,AAPL
2021-03-24,120.09,122.9,120.065,122.82,88530485,AAPL
2021-03-25,120.59,121.66,119,119.54,98844681,AAPL
2021-03-26,121.21,121.48,118.92,120.35,94071234,AAPL
2021-03-29,121.39,122.58,120.7299,121.65,80819203,AAPL
2021-03-30,119.9,120.4031,118.86,120.11,85671919,AAPL
2021-03-31,122.15,123.52,121.15,121.65,118323826,AAPL
2021-04-01,123,124.18,122.49,123.66,75089134,AAPL
2021-04-05,125.9,126.1601,123.07,123.87,88651175,AAPL
2021-04-06,126.21,127.13,125.65,126.5,80171253,AAPL
2021-04-07,127.9,127.92,125.14,125.83,83466716,AAPL
2021-04-08,130.36,130.39,128.52,128.95,88844591,AAPL
2021-04-09,132.995,133.04,129.47,129.8,106686703,AAPL
2021-04-12,131.24,132.85,130.63,132.52,91419983,AAPL
2021-04-13,134.43,134.66,131.93,132.44,91266545,AAPL
2021-04-14,132.03,135,131.655,134.94,87222782,AAPL
2021-04-15,134.5,135,133.64,133.82,89347102,AAPL
2021-04-16,134.16,134.67,133.28,134.3,84922386,AAPL
2021-04-19,134.84,135.47,133.34,133.51,94264215,AAPL
2021-04-20,133.11,135.53,131.81,135.02,94812349,AAPL
2021-04-21,133.5,133.75,131.3001,132.36,68847136,AAPL
2021-04-22,131.94,134.15,131.41,133.04,84566456,AAPL
2021-04-23,134.32,135.12,132.16,132.16,78756779,AAPL
2021-04-26,134.72,135.06,133.56,134.83,66905069,AAPL
2021-04-27,134.39,135.41,134.11,135.01,66015804,AAPL
2021-04-28,133.58,135.02,133.08,134.31,107760097,AAPL
2021-04-29,133.48,137.07,132.45,136.47,151100953,AAPL
2021-04-30,131.46,133.56,131.065,131.78,109839466,AAPL
2021-05-03,132.54,134.07,131.83,132.04,75135100,AAPL
2021-05-04,127.85,131.4899,126.7,131.19,137564718,AAPL
2021-05-05,128.1,130.45,127.97,129.2,84000900,AAPL
2021-05-06,129.74,129.75,127.13,127.89,78128334,AAPL
2021-05-07,130.21,131.2582,129.475,130.85,78973273,AAPL
2021-05-10,126.85,129.54,126.81,129.41,88071229,AAPL
2021-05-11,125.91,126.27,122.77,123.5,126142826,AAPL
2021-05-12,122.77,124.64,122.25,123.4,112172282,AAPL
2021-05-13,124.97,126.15,124.26,124.58,105861339,AAPL
2021-05-14,127.45,127.89,125.85,126.25,81917951,AAPL
2021-05-17,126.27,126.93,125.17,126.82,74244624,AAPL
2021-05-18,124.85,126.99,124.78,126.56,63342929,AAPL
2021-05-19,124.69,124.915,122.86,123.16,92611989,AAPL
2021-05-20,127.31,127.72,125.1,125.23,76857123,AAPL
2021-05-21,125.43,128,125.21,127.82,79295436,AAPL
2021-05-24,127.1,127.94,125.94,126.01,63092945,AAPL
2021-05-25,126.9,128.32,126.32,127.82,72009482,AAPL
2021-05-26,126.85,127.39,126.42,126.955,56575920,AAPL
2021-05-27,125.28,127.64,125.08,126.44,94625601,AAPL
2021-05-28,124.61,125.8,124.55,125.57,71311109,AAPL
2021-06-01,124.28,125.35,123.94,125.08,67637118,AAPL
2021-06-02,125.06,125.24,124.05,124.28,59278862,AAPL
2021-06-03,123.54,124.85,123.13,124.68,76229170,AAPL
2021-06-04,125.89,126.16,123.85,124.07,75169343,AAPL
2021-06-07,125.9,126.32,124.8321,126.17,71057550,AAPL
2021-06-08,126.74,128.46,126.2101,126.6,74403774,AAPL
2021-06-09,127.13,127.75,126.52,127.21,56877937,AAPL
2021-06-10,126.11,128.19,125.94,127.02,71186421,AAPL
2021-06-11,127.35,127.44,126.1,126.53,53522373,AAPL
2021-06-14,130.48,130.54,127.07,127.82,96906490,AAPL
2021-06-15,129.64,130.6,129.39,129.94,62746332,AAPL
2021-06-16,130.15,130.89,128.461,130.37,91815026,AAPL
2021-06-17,131.79,132.55,129.65,129.8,96721669,AAPL
2021-06-18,130.46,131.51,130.24,130.71,108953309,AAPL
2021-06-21,132.3,132.41,129.21,130.3,79663316,AAPL
2021-06-22,133.98,134.08,131.62,132.13,74783618,AAPL
2021-06-23,133.7,134.32,133.23,133.77,60214200,AAPL
2021-06-24,133.41,134.64,132.93,134.45,68710998,AAPL
2021-06-25,133.11,133.89,132.81,133.46,70783746,AAPL
2021-06-28,134.78,135.245,133.35,133.41,62111303,AAPL
2021-06-29,136.33,136.49,134.35,134.8,64556081,AAPL
2021-06-30,136.96,137.41,135.87,136.17,63261393,AAPL
2021-07-01,137.27,137.33,135.76,136.6,52485781,AAPL
2021-07-02,139.96,140,137.745,137.9,78945572,AAPL
2021-07-06,142.02,143.15,140.07,140.07,108181793,AAPL
2021-07-07,144.57,144.89,142.66,143.535,104911589,AAPL
2021-07-08,143.24,144.06,140.665,141.58,105575458,AAPL
2021-07-09,145.11,145.65,142.6522,142.75,99890800,AAPL
2021-07-12,144.5,146.32,144,146.21,76299719,AAPL
2021-07-13,145.64,147.46,143.63,144.03,100827099,AAPL
2021-07-14,149.15,149.57,147.68,148.1,127050785,AAPL
2021-07-15,148.48,150,147.09,149.24,106820297,AAPL
2021-07-16,146.39,149.76,145.88,148.46,93251426,AAPL
2021-07-19,142.45,144.07,141.67,143.75,121434571,AAPL
2021-07-20,146.15,147.0997,142.96,143.46,96350036,AAPL
2021-07-21,145.4,146.13,144.63,145.53,74993460,AAPL
2021-07-22,146.8,148.195,145.81,145.935,77338156,AAPL
2021-07-23,148.56,148.7177,146.92,147.55,71447416,AAPL
2021-07-26,148.99,149.83,147.7,148.27,72434089,AAPL
2021-07-27,146.77,149.21,145.55,149.12,104818578,AAPL
2021-07-28,144.98,146.97,142.54,144.81,118931191,AAPL
2021-07-29,145.64,146.55,144.58,144.685,56699475,AAPL
2021-07-30,145.86,146.33,144.11,144.38,70440626,AAPL
2021-08-02,145.52,146.95,145.25,146.36,62879961,AAPL
2021-08-03,147.36,148.045,145.18,145.81,64786618,AAPL
2021-08-04,146.95,147.79,146.28,147.27,56368271,AAPL
2021-08-05,147.06,147.84,146.17,146.98,46397674,AAPL
2021-08-06,146.14,147.11,145.63,146.35,54126813,AAPL
2021-08-09,146.09,146.7,145.52,146.2,48908689,AAPL
2021-08-10,145.6,147.71,145.3,146.44,69023081,AAPL
2021-08-11,145.86,146.72,145.53,146.05,48493463,AAPL
2021-08-12,148.89,149.05,145.84,146.19,73779113,AAPL
2021-08-13,149.1,149.4444,148.27,148.97,59375009,AAPL
2021-08-16,151.12,151.19,146.47,148.535,103558782,AAPL
2021-08-17,150.19,151.68,149.09,150.23,92229735,AAPL
2021-08-18,146.36,150.72,146.15,149.8,86325990,AAPL
2021-08-19,146.7,148,144.5,145.03,86960310,AAPL
2021-08-20,148.19,148.5,146.78,147.44,60549630,AAPL
2021-08-23,149.71,150.19,147.89,148.31,60131810,AAPL
2021-08-24,149.62,150.86,149.15,149.45,48606428,AAPL
2021-08-25,148.36,150.32,147.8,149.81,58991297,AAPL
2021-08-26,147.54,149.12,147.51,148.35,48597195,AAPL
2021-08-27,148.6,148.75,146.83,147.48,55802388,AAPL
2021-08-30,153.12,153.49,148.61,149,90956723,AAPL
2021-08-31,151.83,152.8,151.29,152.66,86453117,AAPL
2021-09-01,152.51,154.98,152.34,152.83,80313711,AAPL
2021-09-02,153.65,154.72,152.4,153.87,71171317,AAPL
2021-09-03,154.3,154.63,153.09,153.76,57866066,AAPL
2021-09-07,156.69,157.26,154.39,154.97,82278261,AAPL
2021-09-08,155.11,157.04,153.975,156.98,74420207,AAPL
2021-09-09,154.07,156.11,153.95,155.49,57305730,AAPL
2021-09-10,148.97,155.48,148.7,155,140893235,AAPL
2021-09-13,149.55,151.42,148.75,150.63,102404329,AAPL
2021-09-14,148.12,151.07,146.91,150.35,109296295,AAPL
2021-09-15,149.03,149.44,146.37,148.56,83281315,AAPL
2021-09-16,148.79,148.97,147.221,148.44,68034149,AAPL
2021-09-17,146.06,148.82,145.76,148.82,129868824,AAPL
2021-09-20,142.94,144.84,141.27,143.8,123478863,AAPL
2021-09-21,143.43,144.6,142.78,143.93,75833962,AAPL
2021-09-22,145.85,146.43,143.7001,144.45,76404341,AAPL
2021-09-23,146.83,147.08,145.64,146.65,64838170,AAPL
2021-09-24,146.92,147.4701,145.56,145.66,53477869,AAPL
2021-09-27,145.37,145.96,143.82,145.47,74150729,AAPL
2021-09-28,141.91,144.75,141.69,143.25,108972340,AAPL
2021-09-29,142.83,144.45,142.03,142.47,74602044,AAPL
2021-09-30,141.5,144.378,141.28,143.66,89056664,AAPL
2021-10-01,142.65,142.92,139.1101,141.9,94639581,AAPL
2021-10-04,139.14,142.21,138.27,141.76,98322008,AAPL
2021-10-05,141.11,142.24,139.36,139.49,80861062,AAPL
2021-10-06,142,142.15,138.37,139.47,83221119,AAPL
2021-10-07,143.29,144.215,142.72,143.06,61732656,AAPL
2021-10-08,142.9,144.1781,142.56,144.03,58773155,AAPL
2021-10-11,142.81,144.81,141.81,142.27,64452219,AAPL
2021-10-12,141.51,143.25,141.0401,143.23,73035859,AAPL
2021-10-13,140.91,141.4,139.2,141.235,78762721,AAPL
2021-10-14,143.76,143.88,141.51,142.11,69907100,AAPL
2021-10-15,144.84,144.895,143.51,143.77,67940334,AAPL
2021-10-18,146.55,146.84,143.16,143.445,85589175,AAPL
2021-10-19,148.76,149.17,146.55,147.01,76378894,AAPL
2021-10-20,149.26,149.7539,148.12,148.7,58418788,AAPL
2021-10-21,149.48,149.64,147.87,148.81,61420990,AAPL
2021-10-22,148.69,150.18,148.64,149.69,58883443,AAPL
2021-10-25,148.64,149.37,147.6211,148.68,50720556,AAPL
2021-10-26,149.32,150.84,149.0101,149.33,60893395,AAPL
2021-10-27,148.85,149.73,148.49,149.36,56094929,AAPL
2021-10-28,152.57,153.165,149.72,149.82,100077888,AAPL
2021-10-29,149.8,149.94,146.4128,147.215,124953168,AAPL
2021-11-01,148.96,149.7,147.8,148.985,74588258,AAPL
2021-11-02,150.02,151.57,148.65,148.66,69121987,AAPL
2021-11-03,151.49,151.97,149.82,150.39,54511534,AAPL
2021-11-04,150.96,152.43,150.64,151.58,60394616,AAPL
2021-11-05,151.28,152.2,150.06,151.89,65463883,AAPL
2021-11-08,150.44,151.57,150.16,151.41,55020868,AAPL
2021-11-09,150.81,151.428,150.0601,150.2,56787930,AAPL
2021-11-10,147.92,150.13,147.85,150.02,65187092,AAPL
2021-11-11,147.87,149.43,147.681,148.96,40999950,AAPL
2021-11-12,149.99,150.4,147.48,148.43,63804008,AAPL
2021-11-15,150,151.88,149.43,150.37,59222803,AAPL
2021-11-16,151,151.488,149.34,149.94,59256210,AAPL
2021-11-17,153.49,155,150.99,150.995,88807000,AAPL
2021-11-18,157.87,158.67,153.05,153.71,137827673,AAPL
2021-11-19,160.55,161.02,156.5328,157.65,117305597,AAPL
2021-11-22,161.02,165.7,161,161.68,117467889,AAPL
2021-11-23,161.41,161.8,159.0601,161.12,96041899,AAPL
2021-11-24,161.94,162.14,159.64,160.75,69463623,AAPL
2021-11-26,156.81,160.45,156.36,159.565,76959752,AAPL
2021-11-29,160.24,161.19,158.7901,159.37,88748217,AAPL
2021-11-30,165.3,165.52,159.92,159.985,174048056,AAPL
2021-12-01,164.77,170.3,164.53,167.48,152423003,AAPL
2021-12-02,163.76,164.2,157.8,158.735,136739174,AAPL
2021-12-03,161.84,164.96,159.72,164.02,118023116,AAPL
2021-12-06,165.32,167.8799,164.28,164.29,107496982,AAPL
