Date,Price,Beds,Baths,Square_Feet
"02/03/2022,","$569,900,",5,4,"3,557"
"02/02/2022,","$242,500,",2,1,"1,200"
"01/28/2022,","$565,000,",3,2,"2,118"
"01/28/2022,","$569,900,",4,4,"3,364"
"01/28/2022,","$415,000,",4,4,"3,185"
"01/25/2022,","$325,000,",3,2,"1,554"
"01/21/2022,","$441,600,",3,3,"2,814"
"01/20/2022,","$546,235,",5,3,"3,364"
"01/20/2022,","$365,000,",4,4,"3,662"
"01/19/2022,","$387,500,",4,3,"2,787"
"01/14/2022,","$528,900,",4,4,"2,901"
"01/14/2022,","$950,000,",5,4,"4,540"
"01/14/2022,","$371,000,",4,3,"2,836"
"01/11/2022,","$500,000,",4,3,"3,297"
"01/07/2022,","$615,000,",5,5,"5,443"
"01/03/2022,","$618,000,",5,4,"4,687"
"01/03/2022,","$250,000,",4,2,"1,520"
"12/30/2021,","$298,393,",4,3,"1,991"
"12/30/2021,","$615,000,",5,3,"3,464"
"12/30/2021,","$625,000,",5,5,"4,409"
"12/30/2021,","$550,000,",6,5,"4,953"
"12/30/2021,","$735,000,",4,4,"3,975"
"12/28/2021,","$417,500,",3,2,"2,062"
"12/28/2021,","$140,000,",3,1,"1,075"
"12/27/2021,","$355,000,",4,3,"3,004"
"12/23/2021,","$303,000,",3,2,"1,678"
"12/23/2021,","$729,000,",4,5,"4,900"
"12/21/2021,","$569,900,",4,4,"3,395"
"12/20/2021,","$315,000,",3,2,"1,420"
"12/17/2021,","$625,000,",4,4,"3,330"
"12/17/2021,","$446,000,",4,3,"2,996"
"12/17/2021,","$435,000,",3,3,"2,006"
"12/17/2021,","$386,638,",4,3,"2,486"
"12/16/2021,","$374,943,",4,3,"2,819"
"12/15/2021,","$415,000,",4,3,"3,248"
"12/10/2021,","$603,142,",5,4,"3,193"
"12/10/2021,","$210,853,",3,2,"1,270"
"12/10/2021,","$168,678,",3,1,"1,012"
"12/09/2021,","$334,500,",3,2,"1,626"
